id,year,month,day,hour,minute,second,Etime,Tcham
0,2021,6,9,17,26,39,-60,21.17
1,2021,6,9,17,26,40,-59,21.09
2,2021,6,9,17,26,41,-58,21.09
3,2021,6,9,17,26,42,-57,21.09
4,2021,6,9,17,26,43,-56,21.09
5,2021,6,9,17,26,44,-55,21.09
6,2021,6,9,17,26,45,-54,21.09
7,2021,6,9,17,26,46,-53,21.09
8,2021,6,9,17,26,48,-52,21.09
9,2021,6,9,17,26,49,-51,21.09
10,2021,6,9,17,26,50,-50,21.17
11,2021,6,9,17,26,51,-49,21.09
12,2021,6,9,17,26,52,-48,21.09
13,2021,6,9,17,26,53,-47,21.09
14,2021,6,9,17,26,54,-46,21.09
15,2021,6,9,17,26,55,-45,21.17
16,2021,6,9,17,26,56,-44,21.17
17,2021,6,9,17,26,57,-43,21.17
18,2021,6,9,17,26,58,-42,21.17
19,2021,6,9,17,26,59,-41,21.09
20,2021,6,9,17,27,0,-40,21.09
21,2021,6,9,17,27,1,-39,21.09
22,2021,6,9,17,27,2,-38,21.17
23,2021,6,9,17,27,3,-37,21.09
24,2021,6,9,17,27,4,-36,21.09
25,2021,6,9,17,27,5,-35,21.17
26,2021,6,9,17,27,6,-34,21.09
27,2021,6,9,17,27,7,-33,21.09
28,2021,6,9,17,27,8,-32,21.09
29,2021,6,9,17,27,9,-31,21.09
30,2021,6,9,17,27,10,-30,21.09
31,2021,6,9,17,27,11,-29,21.09
32,2021,6,9,17,27,12,-28,21.09
33,2021,6,9,17,27,13,-27,21.09
34,2021,6,9,17,27,14,-26,21.09
35,2021,6,9,17,27,15,-25,21.09
36,2021,6,9,17,27,16,-24,21.09
37,2021,6,9,17,27,17,-23,21.17
38,2021,6,9,17,27,18,-22,21.09
39,2021,6,9,17,27,19,-21,21.09
40,2021,6,9,17,27,20,-20,21.09
41,2021,6,9,17,27,21,-19,21.17
42,2021,6,9,17,27,22,-18,21.09
43,2021,6,9,17,27,24,-17,21.09
44,2021,6,9,17,27,25,-16,21.09
45,2021,6,9,17,27,26,-15,21.09
46,2021,6,9,17,27,27,-14,21.09
47,2021,6,9,17,27,28,-13,21.09
48,2021,6,9,17,27,29,-12,21.09
49,2021,6,9,17,27,30,-11,21.09
50,2021,6,9,17,27,31,-10,21.09
51,2021,6,9,17,27,32,-9,21.09
52,2021,6,9,17,27,33,-8,21.09
53,2021,6,9,17,27,34,-7,21.09
54,2021,6,9,17,27,35,-6,21.09
55,2021,6,9,17,27,36,-5,21.09
56,2021,6,9,17,27,37,-4,21.17
57,2021,6,9,17,27,38,-3,21.09
58,2021,6,9,17,27,39,-2,21.09
59,2021,6,9,17,27,40,-1,21.09
60,2021,6,9,17,27,41,0,21.01
61,2021,6,9,17,27,42,1,21.09
62,2021,6,9,17,27,43,2,21.09
63,2021,6,9,17,27,44,3,21.09
64,2021,6,9,17,27,45,4,21.01
65,2021,6,9,17,27,46,5,21.09
66,2021,6,9,17,27,47,6,21.01
67,2021,6,9,17,27,48,7,21.09
68,2021,6,9,17,27,49,8,21.09
69,2021,6,9,17,27,50,9,21.09
70,2021,6,9,17,27,51,10,21.09
71,2021,6,9,17,27,52,11,21.09
72,2021,6,9,17,27,53,12,21.01
73,2021,6,9,17,27,54,13,21.09
74,2021,6,9,17,27,55,14,21.09
75,2021,6,9,17,27,56,15,21.01
76,2021,6,9,17,27,57,16,21.09
77,2021,6,9,17,27,58,17,21.01
78,2021,6,9,17,27,59,18,21.09
79,2021,6,9,17,28,1,19,21.09
80,2021,6,9,17,28,2,20,21.17
81,2021,6,9,17,28,3,21,21.09
82,2021,6,9,17,28,4,22,21.09
83,2021,6,9,17,28,5,23,21.09
84,2021,6,9,17,28,6,24,21.09
85,2021,6,9,17,28,7,25,21.01
86,2021,6,9,17,28,8,26,21.09
87,2021,6,9,17,28,9,27,21.09
88,2021,6,9,17,28,10,28,21.09
89,2021,6,9,17,28,11,29,21.17
90,2021,6,9,17,28,12,30,21.09
91,2021,6,9,17,28,13,31,21.09
92,2021,6,9,17,28,14,32,21.09
93,2021,6,9,17,28,15,33,21.01
94,2021,6,9,17,28,16,34,21.01
95,2021,6,9,17,28,17,35,21.01
96,2021,6,9,17,28,18,36,21.01
97,2021,6,9,17,28,19,37,21.01
98,2021,6,9,17,28,20,38,21.09
99,2021,6,9,17,28,21,39,21.01
100,2021,6,9,17,28,22,40,21.09
101,2021,6,9,17,28,23,41,21.09
102,2021,6,9,17,28,24,42,21.01
103,2021,6,9,17,28,25,43,21.01
104,2021,6,9,17,28,26,44,21.09
105,2021,6,9,17,28,27,45,21.09
106,2021,6,9,17,28,28,46,21.09
107,2021,6,9,17,28,29,47,21.09
108,2021,6,9,17,28,30,48,21.09
109,2021,6,9,17,28,31,49,21.09
110,2021,6,9,17,28,32,50,21.01
111,2021,6,9,17,28,33,51,21.09
112,2021,6,9,17,28,34,52,21.01
113,2021,6,9,17,28,35,53,21.09
114,2021,6,9,17,28,36,54,21.01
115,2021,6,9,17,28,37,55,21.01
116,2021,6,9,17,28,39,56,21.09
117,2021,6,9,17,28,40,57,21.09
118,2021,6,9,17,28,41,58,21.09
119,2021,6,9,17,28,42,59,21.09
120,2021,6,9,17,28,43,60,21.09
121,2021,6,9,17,28,44,61,21.09
122,2021,6,9,17,28,45,62,21.09
123,2021,6,9,17,28,46,63,21.09
124,2021,6,9,17,28,47,64,21.09
125,2021,6,9,17,28,48,65,21.09
126,2021,6,9,17,28,49,66,21.09
127,2021,6,9,17,28,50,67,21.09
128,2021,6,9,17,28,51,68,21.09
129,2021,6,9,17,28,52,69,21.17
130,2021,6,9,17,28,53,70,21.09
