id,year,month,day,hour,minute,second,Etime,Tcham
0,2022,6,10,13,57,47,-60,17.00
1,2022,6,10,13,57,48,-59,17.00
2,2022,6,10,13,57,49,-58,17.00
3,2022,6,10,13,57,50,-57,17.00
4,2022,6,10,13,57,51,-56,17.00
5,2022,6,10,13,57,52,-55,17.00
6,2022,6,10,13,57,53,-54,17.00
7,2022,6,10,13,57,54,-53,17.00
8,2022,6,10,13,57,55,-52,17.00
9,2022,6,10,13,57,56,-51,17.00
10,2022,6,10,13,57,57,-50,17.00
11,2022,6,10,13,57,58,-49,17.00
12,2022,6,10,13,57,59,-48,16.91
13,2022,6,10,13,58,0,-47,16.91
14,2022,6,10,13,58,1,-46,17.00
15,2022,6,10,13,58,2,-45,16.91
16,2022,6,10,13,58,3,-44,16.91
17,2022,6,10,13,58,4,-43,17.00
18,2022,6,10,13,58,6,-42,17.00
19,2022,6,10,13,58,7,-41,17.00
20,2022,6,10,13,58,8,-40,17.00
21,2022,6,10,13,58,9,-39,17.00
22,2022,6,10,13,58,10,-38,17.00
23,2022,6,10,13,58,11,-37,17.00
24,2022,6,10,13,58,12,-36,16.91
25,2022,6,10,13,58,13,-35,17.00
26,2022,6,10,13,58,14,-34,17.00
27,2022,6,10,13,58,15,-33,17.00
28,2022,6,10,13,58,16,-32,17.00
29,2022,6,10,13,58,17,-31,16.91
30,2022,6,10,13,58,18,-30,17.00
31,2022,6,10,13,58,19,-29,17.00
32,2022,6,10,13,58,20,-28,17.00
33,2022,6,10,13,58,21,-27,17.08
34,2022,6,10,13,58,22,-26,17.00
35,2022,6,10,13,58,23,-25,17.00
36,2022,6,10,13,58,24,-24,16.91
37,2022,6,10,13,58,25,-23,17.00
38,2022,6,10,13,58,26,-22,17.00
39,2022,6,10,13,58,27,-21,17.00
40,2022,6,10,13,58,28,-20,17.00
41,2022,6,10,13,58,29,-19,17.00
42,2022,6,10,13,58,30,-18,17.00
43,2022,6,10,13,58,31,-17,17.00
44,2022,6,10,13,58,32,-16,17.00
45,2022,6,10,13,58,33,-15,17.08
46,2022,6,10,13,58,34,-14,17.00
47,2022,6,10,13,58,35,-13,17.00
48,2022,6,10,13,58,36,-12,17.00
49,2022,6,10,13,58,37,-11,17.00
50,2022,6,10,13,58,38,-10,17.00
51,2022,6,10,13,58,39,-9,17.08
52,2022,6,10,13,58,40,-8,17.00
53,2022,6,10,13,58,41,-7,17.00
54,2022,6,10,13,58,43,-6,17.00
55,2022,6,10,13,58,44,-5,17.00
56,2022,6,10,13,58,45,-4,17.08
57,2022,6,10,13,58,46,-3,17.08
58,2022,6,10,13,58,47,-2,17.00
59,2022,6,10,13,58,48,-1,17.00
60,2022,6,10,13,58,49,0,17.00
61,2022,6,10,13,58,50,1,17.00
62,2022,6,10,13,58,51,2,16.91
63,2022,6,10,13,58,52,3,17.00
64,2022,6,10,13,58,53,4,17.00
65,2022,6,10,13,58,54,5,16.91
