id,year,month,day,hour,minute,second,Etime,Tcham
0,2022,6,10,13,5,18,-60,17.17
1,2022,6,10,13,5,19,-59,17.17
2,2022,6,10,13,5,20,-58,17.17
3,2022,6,10,13,5,21,-57,17.17
4,2022,6,10,13,5,23,-56,17.17
5,2022,6,10,13,5,24,-55,17.17
6,2022,6,10,13,5,25,-54,17.17
7,2022,6,10,13,5,26,-53,17.17
8,2022,6,10,13,5,27,-52,17.17
9,2022,6,10,13,5,28,-51,17.17
10,2022,6,10,13,5,29,-50,17.08
11,2022,6,10,13,5,30,-49,17.17
12,2022,6,10,13,5,31,-48,17.17
13,2022,6,10,13,5,32,-47,17.17
14,2022,6,10,13,5,33,-46,17.17
15,2022,6,10,13,5,34,-45,17.17
16,2022,6,10,13,5,35,-44,17.17
17,2022,6,10,13,5,36,-43,17.17
18,2022,6,10,13,5,37,-42,17.17
19,2022,6,10,13,5,38,-41,17.17
20,2022,6,10,13,5,39,-40,17.08
21,2022,6,10,13,5,40,-39,17.17
22,2022,6,10,13,5,41,-38,17.17
23,2022,6,10,13,5,42,-37,17.17
24,2022,6,10,13,5,43,-36,17.08
25,2022,6,10,13,5,44,-35,17.17
26,2022,6,10,13,5,45,-34,17.17
27,2022,6,10,13,5,46,-33,17.17
28,2022,6,10,13,5,47,-32,17.17
29,2022,6,10,13,5,48,-31,17.17
30,2022,6,10,13,5,49,-30,17.17
31,2022,6,10,13,5,50,-29,17.17
32,2022,6,10,13,5,51,-28,17.17
33,2022,6,10,13,5,52,-27,17.17
34,2022,6,10,13,5,53,-26,17.17
35,2022,6,10,13,5,54,-25,17.17
36,2022,6,10,13,5,55,-24,17.08
37,2022,6,10,13,5,56,-23,17.17
38,2022,6,10,13,5,57,-22,17.17
39,2022,6,10,13,5,59,-21,17.17
40,2022,6,10,13,6,0,-20,17.17
41,2022,6,10,13,6,1,-19,17.17
42,2022,6,10,13,6,2,-18,17.17
43,2022,6,10,13,6,3,-17,17.17
44,2022,6,10,13,6,4,-16,17.17
45,2022,6,10,13,6,5,-15,17.17
46,2022,6,10,13,6,6,-14,17.17
47,2022,6,10,13,6,7,-13,17.08
48,2022,6,10,13,6,8,-12,17.08
49,2022,6,10,13,6,9,-11,17.17
50,2022,6,10,13,6,10,-10,17.17
51,2022,6,10,13,6,11,-9,17.08
52,2022,6,10,13,6,12,-8,17.17
53,2022,6,10,13,6,13,-7,17.08
54,2022,6,10,13,6,14,-6,17.17
55,2022,6,10,13,6,15,-5,17.08
56,2022,6,10,13,6,16,-4,17.08
57,2022,6,10,13,6,17,-3,17.17
58,2022,6,10,13,6,18,-2,17.17
59,2022,6,10,13,6,19,-1,17.17
60,2022,6,10,13,6,20,0,17.17
61,2022,6,10,13,6,21,1,17.17
62,2022,6,10,13,6,22,2,17.17
63,2022,6,10,13,6,23,3,17.08
64,2022,6,10,13,6,24,4,17.00
65,2022,6,10,13,6,25,5,17.17
66,2022,6,10,13,6,26,6,17.08
67,2022,6,10,13,6,27,7,17.08
68,2022,6,10,13,6,28,8,17.17
69,2022,6,10,13,6,29,9,17.17
70,2022,6,10,13,6,30,10,17.17
71,2022,6,10,13,6,31,11,17.00
72,2022,6,10,13,6,32,12,17.17
73,2022,6,10,13,6,33,13,17.00
74,2022,6,10,13,6,34,14,17.08
75,2022,6,10,13,6,35,15,17.08
76,2022,6,10,13,6,37,16,17.17
77,2022,6,10,13,6,38,17,17.17
78,2022,6,10,13,6,39,18,17.17
79,2022,6,10,13,6,40,19,17.08
80,2022,6,10,13,6,41,20,17.17
81,2022,6,10,13,6,42,21,17.17
82,2022,6,10,13,6,43,22,17.17
83,2022,6,10,13,6,44,23,17.17
84,2022,6,10,13,6,45,24,17.00
85,2022,6,10,13,6,46,25,17.17
86,2022,6,10,13,6,47,26,17.08
87,2022,6,10,13,6,48,27,17.17
88,2022,6,10,13,6,49,28,17.08
89,2022,6,10,13,6,50,29,17.08
90,2022,6,10,13,6,51,30,17.17
91,2022,6,10,13,6,52,31,17.08
92,2022,6,10,13,6,53,32,17.08
93,2022,6,10,13,6,54,33,17.17
94,2022,6,10,13,6,55,34,17.17
95,2022,6,10,13,6,56,35,17.08
96,2022,6,10,13,6,57,36,17.17
97,2022,6,10,13,6,58,37,17.08
98,2022,6,10,13,6,59,38,17.08
99,2022,6,10,13,7,0,39,17.08
100,2022,6,10,13,7,1,40,17.08
101,2022,6,10,13,7,2,41,17.08
102,2022,6,10,13,7,3,42,17.08
103,2022,6,10,13,7,4,43,17.08
104,2022,6,10,13,7,5,44,17.17
105,2022,6,10,13,7,6,45,17.08
106,2022,6,10,13,7,7,46,17.17
107,2022,6,10,13,7,8,47,17.08
108,2022,6,10,13,7,9,48,17.08
109,2022,6,10,13,7,10,49,17.08
110,2022,6,10,13,7,11,50,17.08
111,2022,6,10,13,7,12,51,17.08
112,2022,6,10,13,7,14,52,17.08
113,2022,6,10,13,7,15,53,17.08
114,2022,6,10,13,7,16,54,17.08
115,2022,6,10,13,7,17,55,17.08
116,2022,6,10,13,7,18,56,17.17
117,2022,6,10,13,7,19,57,17.17
118,2022,6,10,13,7,20,58,17.08
119,2022,6,10,13,7,21,59,17.08
120,2022,6,10,13,7,22,60,17.08
121,2022,6,10,13,7,23,61,17.08
122,2022,6,10,13,7,24,62,17.08
123,2022,6,10,13,7,25,63,17.08
124,2022,6,10,13,7,26,64,17.17
125,2022,6,10,13,7,27,65,17.08
126,2022,6,10,13,7,28,66,17.08
127,2022,6,10,13,7,29,67,17.17
128,2022,6,10,13,7,30,68,17.08
129,2022,6,10,13,7,31,69,17.08
130,2022,6,10,13,7,32,70,17.17
131,2022,6,10,13,7,33,71,17.08
132,2022,6,10,13,7,34,72,17.08
133,2022,6,10,13,7,35,73,17.08
134,2022,6,10,13,7,36,74,17.00
135,2022,6,10,13,7,37,75,17.08
136,2022,6,10,13,7,38,76,17.08
137,2022,6,10,13,7,39,77,17.08
138,2022,6,10,13,7,40,78,17.08
139,2022,6,10,13,7,41,79,17.08
140,2022,6,10,13,7,42,80,17.08
141,2022,6,10,13,7,43,81,17.17
142,2022,6,10,13,7,44,82,17.17
143,2022,6,10,13,7,45,83,17.00
144,2022,6,10,13,7,46,84,17.08
145,2022,6,10,13,7,47,85,17.08
146,2022,6,10,13,7,48,86,17.08
147,2022,6,10,13,7,49,87,17.08
148,2022,6,10,13,7,50,88,17.08
149,2022,6,10,13,7,52,89,17.08
150,2022,6,10,13,7,53,90,17.08
151,2022,6,10,13,7,54,91,17.08
152,2022,6,10,13,7,55,92,17.08
153,2022,6,10,13,7,56,93,17.08
154,2022,6,10,13,7,57,94,17.08
155,2022,6,10,13,7,58,95,17.08
156,2022,6,10,13,7,59,96,17.08
157,2022,6,10,13,8,0,97,17.08
158,2022,6,10,13,8,1,98,17.08
159,2022,6,10,13,8,2,99,17.08
160,2022,6,10,13,8,3,100,17.00
161,2022,6,10,13,8,4,101,17.08
162,2022,6,10,13,8,5,102,17.08
163,2022,6,10,13,8,6,103,17.08
164,2022,6,10,13,8,7,104,17.08
165,2022,6,10,13,8,8,105,17.08
166,2022,6,10,13,8,9,106,17.08
167,2022,6,10,13,8,10,107,17.17
168,2022,6,10,13,8,11,108,17.08
169,2022,6,10,13,8,12,109,17.08
170,2022,6,10,13,8,13,110,17.08
171,2022,6,10,13,8,14,111,17.08
172,2022,6,10,13,8,15,112,17.08
173,2022,6,10,13,8,16,113,17.08
174,2022,6,10,13,8,17,114,17.08
175,2022,6,10,13,8,18,115,17.08
176,2022,6,10,13,8,19,116,17.08
177,2022,6,10,13,8,20,117,17.08
178,2022,6,10,13,8,21,118,17.08
179,2022,6,10,13,8,22,119,17.00
180,2022,6,10,13,8,23,120,17.08
181,2022,6,10,13,8,24,121,17.08
182,2022,6,10,13,8,25,122,17.08
183,2022,6,10,13,8,26,123,17.00
184,2022,6,10,13,8,28,124,17.08
185,2022,6,10,13,8,29,125,17.08
186,2022,6,10,13,8,30,126,17.08
187,2022,6,10,13,8,31,127,17.08
188,2022,6,10,13,8,32,128,17.08
189,2022,6,10,13,8,33,129,17.08
190,2022,6,10,13,8,34,130,17.08
191,2022,6,10,13,8,35,131,17.08
192,2022,6,10,13,8,36,132,17.08
193,2022,6,10,13,8,37,133,17.08
194,2022,6,10,13,8,38,134,17.00
195,2022,6,10,13,8,39,135,17.08
196,2022,6,10,13,8,40,136,17.08
197,2022,6,10,13,8,41,137,17.00
198,2022,6,10,13,8,42,138,17.08
199,2022,6,10,13,8,43,139,17.00
200,2022,6,10,13,8,44,140,17.08
201,2022,6,10,13,8,45,141,17.08
202,2022,6,10,13,8,46,142,17.00
203,2022,6,10,13,8,47,143,17.08
204,2022,6,10,13,8,48,144,17.08
205,2022,6,10,13,8,49,145,17.08
206,2022,6,10,13,8,50,146,17.08
207,2022,6,10,13,8,51,147,17.08
208,2022,6,10,13,8,52,148,17.08
209,2022,6,10,13,8,53,149,17.08
210,2022,6,10,13,8,54,150,17.08
211,2022,6,10,13,8,55,151,17.08
212,2022,6,10,13,8,56,152,17.08
213,2022,6,10,13,8,57,153,17.08
214,2022,6,10,13,8,58,154,17.08
215,2022,6,10,13,8,59,155,17.08
216,2022,6,10,13,9,0,156,17.08
217,2022,6,10,13,9,1,157,17.08
218,2022,6,10,13,9,2,158,17.08
219,2022,6,10,13,9,3,159,17.08
220,2022,6,10,13,9,5,160,17.08
221,2022,6,10,13,9,6,161,17.08
222,2022,6,10,13,9,7,162,17.17
223,2022,6,10,13,9,8,163,17.00
224,2022,6,10,13,9,9,164,17.08
225,2022,6,10,13,9,10,165,17.00
226,2022,6,10,13,9,11,166,17.08
227,2022,6,10,13,9,12,167,17.08
228,2022,6,10,13,9,13,168,17.00
229,2022,6,10,13,9,14,169,17.08
230,2022,6,10,13,9,15,170,17.08
231,2022,6,10,13,9,16,171,17.08
232,2022,6,10,13,9,17,172,17.08
233,2022,6,10,13,9,18,173,17.08
234,2022,6,10,13,9,19,174,17.08
235,2022,6,10,13,9,20,175,17.08
236,2022,6,10,13,9,21,176,17.08
237,2022,6,10,13,9,22,177,17.08
238,2022,6,10,13,9,23,178,17.08
239,2022,6,10,13,9,24,179,17.08
240,2022,6,10,13,9,25,180,17.08
