id,year,month,day,hour,minute,second,Etime,Tcham
0,2022,6,10,16,6,21,-60,24.51
1,2022,6,10,16,6,22,-59,24.59
2,2022,6,10,16,6,23,-58,24.59
3,2022,6,10,16,6,24,-57,24.59
4,2022,6,10,16,6,25,-56,24.59
5,2022,6,10,16,6,26,-55,24.59
6,2022,6,10,16,6,27,-54,24.59
7,2022,6,10,16,6,28,-53,24.67
8,2022,6,10,16,6,29,-52,24.67
9,2022,6,10,16,6,30,-51,24.67
10,2022,6,10,16,6,31,-50,24.67
11,2022,6,10,16,6,32,-49,24.67
12,2022,6,10,16,6,33,-48,24.67
13,2022,6,10,16,6,34,-47,24.67
14,2022,6,10,16,6,35,-46,24.67
15,2022,6,10,16,6,36,-45,24.59
16,2022,6,10,16,6,37,-44,24.76
17,2022,6,10,16,6,38,-43,24.76
18,2022,6,10,16,6,39,-42,24.76
19,2022,6,10,16,6,40,-41,24.76
20,2022,6,10,16,6,41,-40,24.76
21,2022,6,10,16,6,42,-39,24.76
22,2022,6,10,16,6,43,-38,24.67
23,2022,6,10,16,6,44,-37,24.76
24,2022,6,10,16,6,45,-36,24.76
25,2022,6,10,16,6,46,-35,24.67
26,2022,6,10,16,6,48,-34,24.76
27,2022,6,10,16,6,49,-33,24.76
28,2022,6,10,16,6,50,-32,24.76
29,2022,6,10,16,6,51,-31,24.84
30,2022,6,10,16,6,52,-30,24.76
31,2022,6,10,16,6,53,-29,24.84
32,2022,6,10,16,6,54,-28,24.84
33,2022,6,10,16,6,55,-27,24.76
34,2022,6,10,16,6,56,-26,24.84
35,2022,6,10,16,6,57,-25,24.76
36,2022,6,10,16,6,58,-24,24.84
37,2022,6,10,16,6,59,-23,24.84
38,2022,6,10,16,7,0,-22,24.84
39,2022,6,10,16,7,1,-21,24.84
40,2022,6,10,16,7,2,-20,24.84
41,2022,6,10,16,7,3,-19,24.93
42,2022,6,10,16,7,4,-18,24.84
43,2022,6,10,16,7,5,-17,24.84
44,2022,6,10,16,7,6,-16,24.93
45,2022,6,10,16,7,7,-15,24.84
46,2022,6,10,16,7,8,-14,24.93
47,2022,6,10,16,7,9,-13,24.93
48,2022,6,10,16,7,10,-12,24.93
49,2022,6,10,16,7,11,-11,24.93
50,2022,6,10,16,7,12,-10,24.93
51,2022,6,10,16,7,13,-9,24.93
52,2022,6,10,16,7,14,-8,24.93
53,2022,6,10,16,7,15,-7,24.93
54,2022,6,10,16,7,16,-6,24.93
55,2022,6,10,16,7,17,-5,24.93
56,2022,6,10,16,7,18,-4,24.93
57,2022,6,10,16,7,19,-3,25.01
58,2022,6,10,16,7,20,-2,25.01
59,2022,6,10,16,7,21,-1,25.01
60,2022,6,10,16,7,22,0,24.93
61,2022,6,10,16,7,24,1,24.93
62,2022,6,10,16,7,25,2,25.01
63,2022,6,10,16,7,26,3,24.93
64,2022,6,10,16,7,27,4,25.01
65,2022,6,10,16,7,28,5,24.93
66,2022,6,10,16,7,29,6,25.01
67,2022,6,10,16,7,30,7,24.93
68,2022,6,10,16,7,31,8,25.01
69,2022,6,10,16,7,32,9,25.01
70,2022,6,10,16,7,33,10,25.01
71,2022,6,10,16,7,34,11,25.01
72,2022,6,10,16,7,35,12,25.01
73,2022,6,10,16,7,36,13,25.01
74,2022,6,10,16,7,37,14,25.01
75,2022,6,10,16,7,38,15,25.01
76,2022,6,10,16,7,39,16,25.09
77,2022,6,10,16,7,40,17,25.09
78,2022,6,10,16,7,41,18,25.01
79,2022,6,10,16,7,42,19,25.01
80,2022,6,10,16,7,43,20,25.01
81,2022,6,10,16,7,44,21,25.01
82,2022,6,10,16,7,45,22,25.01
83,2022,6,10,16,7,46,23,25.01
84,2022,6,10,16,7,47,24,25.01
85,2022,6,10,16,7,48,25,25.09
86,2022,6,10,16,7,49,26,25.01
87,2022,6,10,16,7,50,27,25.01
88,2022,6,10,16,7,51,28,25.09
89,2022,6,10,16,7,52,29,25.09
90,2022,6,10,16,7,53,30,25.09
91,2022,6,10,16,7,54,31,25.09
92,2022,6,10,16,7,55,32,25.09
93,2022,6,10,16,7,56,33,25.18
94,2022,6,10,16,7,57,34,25.09
95,2022,6,10,16,7,58,35,25.09
96,2022,6,10,16,7,59,36,25.09
97,2022,6,10,16,8,0,37,25.09
98,2022,6,10,16,8,2,38,25.09
99,2022,6,10,16,8,3,39,25.09
100,2022,6,10,16,8,4,40,25.18
101,2022,6,10,16,8,5,41,25.18
102,2022,6,10,16,8,6,42,25.18
103,2022,6,10,16,8,7,43,25.18
104,2022,6,10,16,8,8,44,25.18
105,2022,6,10,16,8,9,45,25.09
106,2022,6,10,16,8,10,46,25.18
107,2022,6,10,16,8,11,47,25.18
108,2022,6,10,16,8,12,48,25.18
109,2022,6,10,16,8,13,49,25.18
110,2022,6,10,16,8,14,50,25.18
111,2022,6,10,16,8,15,51,25.18
112,2022,6,10,16,8,16,52,25.18
113,2022,6,10,16,8,17,53,25.18
114,2022,6,10,16,8,18,54,25.18
115,2022,6,10,16,8,19,55,25.18
116,2022,6,10,16,8,20,56,25.09
117,2022,6,10,16,8,21,57,25.18
118,2022,6,10,16,8,22,58,25.18
119,2022,6,10,16,8,23,59,25.18
120,2022,6,10,16,8,24,60,25.18
121,2022,6,10,16,8,25,61,25.26
122,2022,6,10,16,8,26,62,25.18
123,2022,6,10,16,8,27,63,25.18
124,2022,6,10,16,8,28,64,25.26
125,2022,6,10,16,8,29,65,25.26
126,2022,6,10,16,8,30,66,25.26
127,2022,6,10,16,8,31,67,25.26
128,2022,6,10,16,8,32,68,25.18
129,2022,6,10,16,8,33,69,25.26
130,2022,6,10,16,8,34,70,25.18
131,2022,6,10,16,8,35,71,25.26
132,2022,6,10,16,8,36,72,25.26
133,2022,6,10,16,8,37,73,25.18
134,2022,6,10,16,8,38,74,25.26
135,2022,6,10,16,8,40,75,25.26
