id,year,month,day,hour,minute,second,Etime,Tcham
0,2022,6,13,15,12,44,-60,23.76
1,2022,6,13,15,12,45,-59,23.76
2,2022,6,13,15,12,47,-58,23.76
3,2022,6,13,15,12,48,-57,23.76
4,2022,6,13,15,12,49,-56,23.76
5,2022,6,13,15,12,50,-55,23.76
6,2022,6,13,15,12,51,-54,23.76
7,2022,6,13,15,12,52,-53,23.76
8,2022,6,13,15,12,53,-52,23.84
9,2022,6,13,15,12,54,-51,23.76
10,2022,6,13,15,12,55,-50,23.76
11,2022,6,13,15,12,56,-49,23.84
12,2022,6,13,15,12,57,-48,23.76
13,2022,6,13,15,12,58,-47,23.76
14,2022,6,13,15,12,59,-46,23.76
15,2022,6,13,15,13,0,-45,23.67
16,2022,6,13,15,13,1,-44,23.76
17,2022,6,13,15,13,2,-43,23.76
18,2022,6,13,15,13,3,-42,23.84
19,2022,6,13,15,13,4,-41,23.76
20,2022,6,13,15,13,5,-40,23.76
21,2022,6,13,15,13,6,-39,23.76
22,2022,6,13,15,13,7,-38,23.84
23,2022,6,13,15,13,8,-37,23.76
24,2022,6,13,15,13,9,-36,23.76
25,2022,6,13,15,13,10,-35,23.76
26,2022,6,13,15,13,11,-34,23.76
27,2022,6,13,15,13,12,-33,23.84
28,2022,6,13,15,13,13,-32,23.76
29,2022,6,13,15,13,14,-31,23.76
30,2022,6,13,15,13,15,-30,23.67
31,2022,6,13,15,13,16,-29,23.76
32,2022,6,13,15,13,17,-28,23.84
33,2022,6,13,15,13,18,-27,23.76
34,2022,6,13,15,13,19,-26,23.76
35,2022,6,13,15,13,20,-25,23.76
36,2022,6,13,15,13,21,-24,23.76
37,2022,6,13,15,13,22,-23,23.84
38,2022,6,13,15,13,24,-22,23.84
39,2022,6,13,15,13,25,-21,23.84
40,2022,6,13,15,13,26,-20,23.76
41,2022,6,13,15,13,27,-19,23.84
42,2022,6,13,15,13,28,-18,23.76
43,2022,6,13,15,13,29,-17,23.76
44,2022,6,13,15,13,30,-16,23.84
45,2022,6,13,15,13,31,-15,23.84
46,2022,6,13,15,13,32,-14,23.84
47,2022,6,13,15,13,33,-13,23.84
48,2022,6,13,15,13,34,-12,23.84
49,2022,6,13,15,13,35,-11,23.76
