id,year,month,day,hour,minute,second,Etime,Tcham
0,2019,12,6,12,7,38,-60,42.94
1,2019,12,6,12,7,39,-59,42.83
2,2019,12,6,12,7,40,-58,42.94
3,2019,12,6,12,7,41,-57,42.83
4,2019,12,6,12,7,42,-56,42.94
5,2019,12,6,12,7,43,-55,42.94
6,2019,12,6,12,7,44,-54,42.94
7,2019,12,6,12,7,45,-53,42.94
8,2019,12,6,12,7,46,-52,42.94
9,2019,12,6,12,7,47,-51,42.94
10,2019,12,6,12,7,48,-50,43.04
11,2019,12,6,12,7,49,-49,43.04
12,2019,12,6,12,7,50,-48,43.04
13,2019,12,6,12,7,51,-47,43.04
14,2019,12,6,12,7,52,-46,43.04
15,2019,12,6,12,7,53,-45,43.04
16,2019,12,6,12,7,54,-44,43.04
17,2019,12,6,12,7,55,-43,43.04
18,2019,12,6,12,7,56,-42,43.04
19,2019,12,6,12,7,57,-41,43.15
20,2019,12,6,12,7,58,-40,43.15
21,2019,12,6,12,7,59,-39,43.15
22,2019,12,6,12,8,0,-38,43.15
23,2019,12,6,12,8,1,-37,43.25
24,2019,12,6,12,8,2,-36,43.15
25,2019,12,6,12,8,3,-35,43.25
26,2019,12,6,12,8,5,-34,43.25
27,2019,12,6,12,8,6,-33,43.25
28,2019,12,6,12,8,7,-32,43.25
29,2019,12,6,12,8,8,-31,43.25
30,2019,12,6,12,8,9,-30,43.25
31,2019,12,6,12,8,10,-29,43.25
32,2019,12,6,12,8,11,-28,43.36
33,2019,12,6,12,8,12,-27,43.25
34,2019,12,6,12,8,13,-26,43.36
35,2019,12,6,12,8,14,-25,43.36
36,2019,12,6,12,8,15,-24,43.36
37,2019,12,6,12,8,16,-23,43.36
38,2019,12,6,12,8,17,-22,43.36
39,2019,12,6,12,8,18,-21,43.36
40,2019,12,6,12,8,19,-20,43.36
41,2019,12,6,12,8,20,-19,43.36
42,2019,12,6,12,8,21,-18,43.47
43,2019,12,6,12,8,22,-17,43.36
44,2019,12,6,12,8,23,-16,43.47
45,2019,12,6,12,8,24,-15,43.47
46,2019,12,6,12,8,25,-14,43.36
47,2019,12,6,12,8,26,-13,43.47
48,2019,12,6,12,8,27,-12,43.47
49,2019,12,6,12,8,28,-11,43.47
50,2019,12,6,12,8,29,-10,43.47
51,2019,12,6,12,8,30,-9,43.47
52,2019,12,6,12,8,31,-8,43.57
53,2019,12,6,12,8,32,-7,43.57
54,2019,12,6,12,8,33,-6,43.57
55,2019,12,6,12,8,34,-5,43.57
56,2019,12,6,12,8,35,-4,43.57
57,2019,12,6,12,8,36,-3,43.57
58,2019,12,6,12,8,37,-2,43.57
59,2019,12,6,12,8,38,-1,43.57
60,2019,12,6,12,8,39,0,43.47
61,2019,12,6,12,8,40,1,43.47
62,2019,12,6,12,8,42,2,43.47
63,2019,12,6,12,8,43,3,43.47
64,2019,12,6,12,8,44,4,43.47
65,2019,12,6,12,8,45,5,43.47
66,2019,12,6,12,8,46,6,43.47
67,2019,12,6,12,8,47,7,43.47
68,2019,12,6,12,8,48,8,43.47
69,2019,12,6,12,8,49,9,43.47
70,2019,12,6,12,8,50,10,43.57
71,2019,12,6,12,8,51,11,43.47
72,2019,12,6,12,8,52,12,43.57
73,2019,12,6,12,8,53,13,43.57
74,2019,12,6,12,8,54,14,43.57
75,2019,12,6,12,8,55,15,43.57
76,2019,12,6,12,8,56,16,43.57
77,2019,12,6,12,8,57,17,43.57
78,2019,12,6,12,8,58,18,43.57
79,2019,12,6,12,8,59,19,43.57
80,2019,12,6,12,9,0,20,43.57
81,2019,12,6,12,9,1,21,43.68
82,2019,12,6,12,9,2,22,43.57
83,2019,12,6,12,9,3,23,43.68
84,2019,12,6,12,9,4,24,43.57
85,2019,12,6,12,9,5,25,43.57
86,2019,12,6,12,9,6,26,43.57
87,2019,12,6,12,9,7,27,43.68
88,2019,12,6,12,9,8,28,43.68
89,2019,12,6,12,9,9,29,43.68
90,2019,12,6,12,9,10,30,43.68
91,2019,12,6,12,9,11,31,43.68
92,2019,12,6,12,9,12,32,43.68
93,2019,12,6,12,9,13,33,43.68
94,2019,12,6,12,9,14,34,43.68
95,2019,12,6,12,9,15,35,43.68
96,2019,12,6,12,9,16,36,43.68
97,2019,12,6,12,9,17,37,43.68
98,2019,12,6,12,9,19,38,43.68
99,2019,12,6,12,9,20,39,43.68
100,2019,12,6,12,9,21,40,43.68
101,2019,12,6,12,9,22,41,43.68
102,2019,12,6,12,9,23,42,43.79
103,2019,12,6,12,9,24,43,43.68
104,2019,12,6,12,9,25,44,43.79
105,2019,12,6,12,9,26,45,43.79
106,2019,12,6,12,9,27,46,43.79
107,2019,12,6,12,9,28,47,43.79
108,2019,12,6,12,9,29,48,43.79
109,2019,12,6,12,9,30,49,43.79
110,2019,12,6,12,9,31,50,43.79
111,2019,12,6,12,9,32,51,43.79
112,2019,12,6,12,9,33,52,43.79
113,2019,12,6,12,9,34,53,43.79
114,2019,12,6,12,9,35,54,43.79
115,2019,12,6,12,9,36,55,43.79
116,2019,12,6,12,9,37,56,43.89
117,2019,12,6,12,9,38,57,43.79
118,2019,12,6,12,9,39,58,43.79
119,2019,12,6,12,9,40,59,43.89
120,2019,12,6,12,9,41,60,43.89
121,2019,12,6,12,9,42,61,43.89
122,2019,12,6,12,9,43,62,43.89
123,2019,12,6,12,9,44,63,43.89
124,2019,12,6,12,9,45,64,43.89
125,2019,12,6,12,9,46,65,43.89
126,2019,12,6,12,9,47,66,43.89
127,2019,12,6,12,9,48,67,43.89
128,2019,12,6,12,9,49,68,43.89
129,2019,12,6,12,9,50,69,43.89
130,2019,12,6,12,9,51,70,43.89
131,2019,12,6,12,9,52,71,44.00
132,2019,12,6,12,9,53,72,44.00
133,2019,12,6,12,9,54,73,43.89
134,2019,12,6,12,9,55,74,44.00
135,2019,12,6,12,9,57,75,44.00
136,2019,12,6,12,9,58,76,44.00
137,2019,12,6,12,9,59,77,44.00
